Organism Name,Region,Average_lifespan_days,Tip_Name,Genome_size_bp,AA_OE,AT_OE,AG_OE,AC_OE,TA_OE,TT_OE,TG_OE,TC_OE,GA_OE,GT_OE,GG_OE,GC_OE,CA_OE,CT_OE,CG_OE,CC_OE,CA_and_TG_OE,AC_and_GT_OE,AG_and_CT_OE,GA_and_TC_OE,AA_and_TT_OE,CC_and_GG_OE
Dendronotus rufus,gene_associated_-2kb_+1kb,365.0,Dendronotus_rufus_ott974461,466668337.0,,0.9722542144654348,,,0.8131394315339121,,,,,,,0.8945146565018448,,,0.747354237846136,,1.1440290284959194,0.9735038678152218,0.9555557007465195,1.0306093794145694,1.0736729114869947,1.0989129583207076
Biomphalaria pfeifferi,gene_associated_-2kb_+1kb,414.1527778,Biomphalaria_pfeifferi_ott960329,771819456.0,,0.8859484539729257,,,0.8237309433925015,,,,,,,1.0087157199524377,,,0.5502063067096783,,1.148100726553835,0.9655270442683378,1.048060764426506,0.9787328937150118,1.1065864144683992,1.0927440622978473
Haliotis laevigata,gene_associated_-2kb_+1kb,5475.0,Haliotis_laevigata_ott780536,1762655385.0,,0.9839729783341666,,,0.8018289863169469,,,,,,,0.8858549327310834,,,0.6218574774626163,,1.2974562577950555,1.0740230203103254,0.9466392336586946,0.9903049268241508,1.0020430650985206,1.0197760004007288
Melibe bucephala,gene_associated_-2kb_+1kb,365.0,Melibe_bucephala_ott2874829,834547682.0,,0.9492325105646,,,0.7517265169719607,,,,,,,0.9387610939756398,,,0.5992604811647165,,1.207820340647818,0.9417348391896604,0.9629262646054343,1.0246876956366588,1.1081034896795172,1.1169119276638417
Proteroiulus fuscus,gene_associated_-2kb_+1kb,3285.0,Proteroiulus_fuscus_ott547146,258540296.0,,0.937243853820538,,,0.7575904553583583,,,,,,,1.1651957903072658,,,0.7018273272326464,,1.1587821776744416,0.869416247398696,0.9014322915830942,0.9235398662431922,1.1949056946806234,1.1938098088148639
Haliotis rubra,gene_associated_-2kb_+1kb,6387.5,Haliotis_rubra_ott695282,1378265264.0,,0.9872757481930386,,,0.8139293020800643,,,,,,,0.8696169461900729,,,0.6098911626389976,,1.3010863246575153,1.0861945211844266,0.9541049043716452,0.9881164328303118,0.9846536162121814,1.0236936297107024
Tritonia festiva,gene_associated_-2kb_+1kb,365.0,Tritonia_festiva_ott277834,908035819.0,,0.9446230191887398,,,0.747600968716857,,,,,,,0.8889251231769599,,,0.6168406592407524,,1.2030394190203322,0.9615160726828769,0.9673578352569415,1.0364777120950452,1.1004708580504632,1.1141157936478927
Carterocephalus palaemon,gene_associated_-2kb_+1kb,349.0,Carterocephalus_palaemon_satakei_ott28037,394538208.0,,0.9710469626132864,,,0.9453784409340624,,,,,,,1.170694080862286,,,1.07727176283622,,1.026083395639011,0.9756418660623726,0.899530003254593,0.8874318627972088,1.1124943651882324,1.0338977807027772
Saxidomus purpurata,gene_associated_-2kb_+1kb,5840.0,Saxidomus_purpurata_ott605472,1005500135.0,,0.9175278831956548,,,0.8207306962928089,,,,,,,1.005803038946139,,,0.6519703304135608,,1.2241363129057061,1.038938167026987,0.9538229654862558,0.9468968518789262,1.0864004473776685,1.0202901362176888
Anadara kagoshimensis,gene_associated_-2kb_+1kb,2596.0625,Anadara_kagoshimensis_ott64928,1115236308.0,,0.9447573335613116,,,0.8289597492531436,,,,,,,0.9307389799213724,,,0.5980390318101003,,1.225705691901751,1.0273468178846599,0.9122472701930822,0.9408801836076004,1.0860570051385072,1.1315458692362035
