Assembly Identifier,Phylum,Class,Order,Family,Genus,Organism Name,Average_lifespan_days,Average_lifespan_days_in_longer_life_cycle,Parthenogenesis,Fission Budding,Highly dormant eggs,Dormant state in other than egg stage,More than one type of life cycles,Eusociality,Eusociality level,Host number
GCA_001594045.1_Acol1.0,Arthropoda (Mandibulata),Insecta,Hymenoptera,Formicidae,Atta,Atta colombica,240.8333333,3710.833333,0,0,0,0,0,1,2,0
GCA_030586385.1_ASM3058638v1,Arthropoda (Mandibulata),Insecta,Hymenoptera,Formicidae,Camponotus,Camponotus fellah,310.8333333,9490,0,0,0,0,0,1,2,0
GCA_003651465.1_ASM365146v1,Arthropoda (Mandibulata),Insecta,Hymenoptera,Formicidae,Formica,Formica exsecta,547.5,7300,0,0,0,0,0,1,2,0
GCA_009859135.1_ASM985913v1,Arthropoda (Mandibulata),Insecta,Hymenoptera,Formicidae,Formica,Formica selysi,0,3694,0,0,0,0,0,1,2,0
GCA_030770355.1_hsub_v1.0,Arthropoda (Mandibulata),Insecta,Hymenoptera,Formicidae,Harpagoxenus,Harpagoxenus sublaevis,1095,5110,0,0,0,0,0,1,2,0
GCA_003227715.2_Hsal_v8.6,Arthropoda (Mandibulata),Insecta,Hymenoptera,Formicidae,Harpegnathos,Harpegnathos saltator,912.5,1862.5,0,0,0,0,0,1,2,0
GCA_041902855.1_ASM4190285v1,Arthropoda (Mandibulata),Insecta,Hymenoptera,Formicidae,Lasius,Lasius niger,730,10402.5,0,0,0,0,0,1,2,0
GCA_035220615.1_lace_v1.0,Arthropoda (Mandibulata),Insecta,Hymenoptera,Formicidae,Leptothorax,Leptothorax acervorum,0,4015,0,0,0,0,0,1,2,0
GCA_040581485.1_Lhum_UNIL_v1.0,Arthropoda (Mandibulata),Insecta,Hymenoptera,Formicidae,Linepithema,Linepithema humile,479,575.25,0,0,0,0,0,1,2,0
GCA_013373865.2_ASM1337386v2,Arthropoda (Mandibulata),Insecta,Hymenoptera,Formicidae,Monomorium,Monomorium pharaonis,99.1,306.95,0,0,0,0,0,1,2,0
GCA_000187915.1_Pbar_UMD_V03,Arthropoda (Mandibulata),Insecta,Hymenoptera,Formicidae,Pogonomyrmex,Pogonomyrmex barbatus,0,7300,0,0,0,0,0,1,2,0
GCA_016802725.1_UNIL_Sinv_3.0,Arthropoda (Mandibulata),Insecta,Hymenoptera,Formicidae,Solenopsis,Solenopsis invicta,518.5,2410.5,0,0,0,0,0,1,2,0
GCA_030848795.1_tnyl_v1.0,Arthropoda (Mandibulata),Insecta,Hymenoptera,Formicidae,Temnothorax,Temnothorax nylanderi,1110,6935,0,0,0,0,0,1,2,0
GCA_030770225.1_tuni_v1.0,Arthropoda (Mandibulata),Insecta,Hymenoptera,Formicidae,Temnothorax,Temnothorax unifasciatus,1095,4380,0,0,0,0,0,1,2,0
GCA_001594115.1_Tsep1.0,Arthropoda (Mandibulata),Insecta,Hymenoptera,Formicidae,Trachymyrmex,Trachymyrmex septentrionalis,760.4166667,2707.083333,0,0,0,0,0,1,2,0
GCA_001594055.1_Tzet1.0,Arthropoda (Mandibulata),Insecta,Hymenoptera,Formicidae,Trachymyrmex,Trachymyrmex zeteki,760.4166667,1855.416667,0,0,0,0,0,1,2,0
GCA_000956235.1_wasmannia.A_1.0,Arthropoda (Mandibulata),Insecta,Hymenoptera,Formicidae,Wasmannia,Wasmannia auropunctata,60,401.5,0,0,0,0,0,1,2,0
GCA_028454255.1_HLIG_v2.2.0,Arthropoda (Mandibulata),Insecta,Hymenoptera,Halictidae,Halictus,Halictus ligatus,49,119,0,0,0,0,0,1,1,0
GCA_028455795.1_LMAR_v2.2.0,Arthropoda (Mandibulata),Insecta,Hymenoptera,Halictidae,Lasioglossum,Lasioglossum marginatum,456.25,2190,0,0,0,0,0,1,1,0
GCA_037043255.1_ASM3704325v1,Arthropoda (Mandibulata),Insecta,Hymenoptera,Ichneumonidae,Diadegma,Diadegma fenestrale,23.5,0,0,0,0,0,0,0,0,1
GCA_011421695.1_ASM1142169v1,Arthropoda (Mandibulata),Insecta,Hymenoptera,Ichneumonidae,Diadegma,Diadegma semiclausum,59.7,0,0,0,0,0,0,0,0,0
GCA_963662125.1_iyDipLaet1.1,Arthropoda (Mandibulata),Insecta,Hymenoptera,Ichneumonidae,Diplazon,Diplazon laetatorius,70.5,0,0,0,0,0,0,0,0,1
GCA_025433975.1_ASM2543397v1,Arthropoda (Mandibulata),Insecta,Hymenoptera,Vespidae,Liostenogaster,Liostenogaster flavolineata,200,348.5,0,0,0,0,0,1,1,0
GCA_001313835.1_ASM131383v1,Arthropoda (Mandibulata),Insecta,Hymenoptera,Vespidae,Polistes,Polistes canadensis,546.77,0,0,0,0,0,0,1,1,0
GCA_001465965.1_Pdom_r1.2,Arthropoda (Mandibulata),Insecta,Hymenoptera,Vespidae,Polistes,Polistes dominula,106,171,0,0,0,0,0,1,1,0
GCA_023678865.1_ASM2367886v1,Arthropoda (Mandibulata),Insecta,Hymenoptera,Vespidae,Polistes,Polistes exclamans,63,161,0,0,0,0,0,1,1,0
GCA_010416935.1_CU_Pfus_HIC,Arthropoda (Mandibulata),Insecta,Hymenoptera,Vespidae,Polistes,Polistes fuscatus,71,116,0,0,0,0,0,1,1,0
GCA_001887335.1_A_vulgare_v1,Arthropoda (Mandibulata),Crustacea,Isopoda,Armadillidiidae,Armadillidium,Armadillidium vulgare,730,0,0,0,0,0,0,0,0,0
GCA_964212115.1_qmAseAqua29.1,Arthropoda (Mandibulata),Crustacea,Isopoda,Asellidae,Asellus,Asellus aquaticus,387.8125,0,0,0,0,0,0,0,0,0
GCA_023373965.1_Ibalt_v1,Arthropoda (Mandibulata),Crustacea,Isopoda,Idoteidae,Idotea,Idotea baltica,425.8333333,0,0,0,0,0,0,0,0,0
GCA_002091915.1_Lexo_gen_Assembly01,Arthropoda (Mandibulata),Crustacea,Isopoda,Ligiidae,Ligia,Ligia exotica,602.25,0,0,0,0,0,0,0,0,0
GCA_034700385.1_ASM3470038v1,Arthropoda (Mandibulata),Crustacea,Isopoda,Porcellionidae,Porcellio,Porcellio scaber,1095,0,0,0,0,0,0,0,0,0
GCA_034700725.1_ASM3470072v1,Arthropoda (Mandibulata),Crustacea,Isopoda,Trichoniscidae,Trichoniscus,Trichoniscus pusillus,791,0,1,0,0,0,0,0,0,0
GCA_034700285.1_ASM3470028v1,Arthropoda (Mandibulata),Diplopoda,Julida,Blaniulidae,Proteroiulus,Proteroiulus fuscus,3285,0,0,0,0,0,0,0,0,0
GCA_034695085.1_ASM3469508v1,Arthropoda (Mandibulata),Diplopoda,Julida,Julidae,Cylindroiulus,Cylindroiulus punctatus,1460,0,0,0,0,0,0,0,0,0
GCA_034696685.1_ASM3469668v1,Arthropoda (Mandibulata),Diplopoda,Julida,Julidae,Julus,Julus scandinavius,1095,0,0,0,0,0,0,0,0,0
GCA_033995625.1_ASM3399562v1,Arthropoda (Mandibulata),Diplopoda,Julida,Julidae,Ophyiulus,Ophyiulus pilosus,1095,0,0,0,0,0,0,0,0,0
GCA_034698465.1_ASM3469846v1,Arthropoda (Mandibulata),Diplopoda,Julida,Julidae,Tachypodoiulus,Tachypodoiulus niger,3285,0,0,0,0,0,0,0,0,0
GCA_034693985.1_ASM3469398v1,Arthropoda (Mandibulata),Diplopoda,Julida,Nemasomatidae,Nemasoma,Nemasoma varicorne,1095,0,0,0,0,0,0,0,0,0
GCA_024362695.1_ilPecGoss1.1,Arthropoda (Mandibulata),Insecta,Lepidoptera,Gelechiidae,Pectinophora,Pectinophora gossypiella,53.16,0,0,0,0,0,0,0,0,0
GCA_024500475.1_ASM2450047v1,Arthropoda (Mandibulata),Insecta,Lepidoptera,Gelechiidae,Phthorimaea,Phthorimaea operculella,44.1,0,0,0,0,0,0,0,0,0
GCA_944567765.1_ilCarPala2.1,Arthropoda (Mandibulata),Insecta,Lepidoptera,Hesperiidae,Carterocephalus,Carterocephalus palaemon,349,0,0,0,0,0,0,0,0,0
GCA_905404135.1_ilHesComm1.1,Arthropoda (Mandibulata),Insecta,Lepidoptera,Hesperiidae,Hesperia,Hesperia comma,136.33,0,0,0,0,0,0,0,0,0
GCA_911387765.1_ilPyrMalv3.1,Arthropoda (Mandibulata),Insecta,Lepidoptera,Hesperiidae,Pyrgus,Pyrgus malvae,348.58,0,0,0,0,0,0,0,0,0
GCA_963932265.1_ilThyLine1.1,Arthropoda (Mandibulata),Insecta,Lepidoptera,Hesperiidae,Thymelicus,Thymelicus lineola,112,0,0,0,0,0,0,0,0,0
GCA_911387775.1_ilThySylv1.1,Arthropoda (Mandibulata),Insecta,Lepidoptera,Hesperiidae,Thymelicus,Thymelicus sylvestris,348,0,0,0,0,0,0,0,0,0
GCA_905187575.2_ilCelArgi3.2,Arthropoda (Mandibulata),Insecta,Lepidoptera,Lycaenidae,Celastrina,Celastrina argiolus,59.5,0,0,0,0,0,0,0,0,0
GCA_964656195.1_ilLamBoet1.hap1.1,Arthropoda (Mandibulata),Insecta,Lepidoptera,Lycaenidae,Lampides,Lampides boeticus,60.5,0,0,0,0,0,0,0,0,0
GCA_937595015.1_ilPolIcar1.1,Arthropoda (Mandibulata),Insecta,Lepidoptera,Lycaenidae,Polyommatus,Polyommatus icarus,71.85,0,0,0,0,0,0,0,0,0
GCA_964274205.1_ilSatPrun1.hap1.1,Arthropoda (Mandibulata),Insecta,Lepidoptera,Lycaenidae,Satyrium,Satyrium pruni,47,0,0,0,0,0,0,0,0,0
GCA_022581195.1_ilHelZeax1.1,Arthropoda (Mandibulata),Insecta,Lepidoptera,Noctuidae,Helicoverpa,Helicoverpa zea,49.37,0,0,0,0,0,0,0,0,0
GCA_002382865.2_ASM238286v2,Arthropoda (Mandibulata),Insecta,Lepidoptera,Noctuidae,Heliothis,Heliothis virescens,47.49,0,0,0,0,0,0,0,0,0
GCA_003590095.1_tn1,Arthropoda (Mandibulata),Insecta,Lepidoptera,Noctuidae,Trichoplusia,Trichoplusia ni,35.2,0,0,0,0,0,0,0,0,0
GCA_951802675.2_ilBolEuph2.2,Arthropoda (Mandibulata),Insecta,Lepidoptera,Nymphalidae,Boloria,Boloria euphrosyne,364,0,0,0,0,0,0,0,0,0
GCA_905231865.2_ilBolSele5.2,Arthropoda (Mandibulata),Insecta,Lepidoptera,Nymphalidae,Boloria,Boloria selene,350.5,0,0,0,0,0,0,0,0,0
GCA_018135715.1_MEX_DaPlex,Arthropoda (Mandibulata),Insecta,Lepidoptera,Nymphalidae,Danaus,Danaus plexippus,69.83,0,0,0,0,0,0,0,0,0
GCA_923060345.2_ilEreAeth2.2,Arthropoda (Mandibulata),Insecta,Lepidoptera,Nymphalidae,Erebia,Erebia aethiops,365.5,0,0,0,0,0,0,0,0,0
GCA_963932025.1_ilEreEpip2.1,Arthropoda (Mandibulata),Insecta,Lepidoptera,Nymphalidae,Erebia,Erebia epiphron,318.35,0,0,0,0,0,0,0,0,0
GCA_928268935.1_ilLasMege1.1,Arthropoda (Mandibulata),Insecta,Lepidoptera,Nymphalidae,Lasiommata,Lasiommata megera,58.73,0,0,0,0,0,0,0,0,0
GCA_905333055.1_ilManJurt1.1,Arthropoda (Mandibulata),Insecta,Lepidoptera,Nymphalidae,Maniola,Maniola jurtina,303.88,0,0,0,0,0,0,0,0,0
GCA_920104075.1_ilMelGala2.1,Arthropoda (Mandibulata),Insecta,Lepidoptera,Nymphalidae,Melanargia,Melanargia galathea,381.78,0,0,0,0,0,0,0,0,0
GCA_905163445.1_ilParAegt1.1,Arthropoda (Mandibulata),Insecta,Lepidoptera,Nymphalidae,Pararge,Pararge aegeria,159.64,0,0,0,0,0,0,0,0,0
GCA_905147765.2_ilVanAtal1.2,Arthropoda (Mandibulata),Insecta,Lepidoptera,Nymphalidae,Vanessa,Vanessa atalanta,93.5,0,0,0,0,0,0,0,0,0
GCA_947369225.1_ilHofPseu3.1,Arthropoda (Mandibulata),Insecta,Lepidoptera,Oecophoridae,Hofmannophila,Hofmannophila pseudospretella,120.1,0,0,0,0,0,0,0,0,0
GCA_964258725.1_ilColHyal1.hap1.1,Arthropoda (Mandibulata),Insecta,Lepidoptera,Pieridae,Colias,Colias hyale,36,0,0,0,0,0,0,0,0,0
GCA_905404315.1_ilLepSina1.1,Arthropoda (Mandibulata),Insecta,Lepidoptera,Pieridae,Leptidea,Leptidea sinapis,199.55,0,0,0,0,0,0,0,0,0
GCA_905147105.1_ilPieBrab1.1,Arthropoda (Mandibulata),Insecta,Lepidoptera,Pieridae,Pieris,Pieris brassicae,200,0,0,0,0,0,0,0,0,0
GCA_905475465.2_ilPieNapi1.2,Arthropoda (Mandibulata),Insecta,Lepidoptera,Pieridae,Pieris,Pieris napi,61.75,0,0,0,0,0,0,0,0,0
GCA_932276165.1_ilPluXylo3.1,Arthropoda (Mandibulata),Insecta,Lepidoptera,Plutellidae,Plutella,Plutella xylostella,48.16,0,0,0,0,0,0,0,0,0
GCA_921024065.1_Genome_ASM_M6_M11_kdef_b300,Arthropoda (Mandibulata),Insecta,Lepidoptera,Pyralidae,Ephestia,Ephestia kuehniella,59.97,0,0,0,0,0,0,0,0,0
GCA_027563975.2_ilPloInte3.2,Arthropoda (Mandibulata),Insecta,Lepidoptera,Pyralidae,Plodia,Plodia interpunctella,29.7,0,0,0,0,0,0,0,0,0
GCA_034697205.1_ASM3469720v1,Arthropoda (Mandibulata),Chilopoda,Lithobiomorpha,Lithobiidae,Lithobius,Lithobius forficatus,2190,0,0,0,0,0,0,0,0,0
GCA_034697385.1_ASM3469738v1,Arthropoda (Mandibulata),Chilopoda,Lithobiomorpha,Lithobiidae,Lithobius,Lithobius mutabilis,1825,0,0,0,0,0,0,0,0,0
GCA_003724045.1_ASM372404v1,Arthropoda (Mandibulata),Crustacea,Notostraca,Triopsidae,Lepidurus,Lepidurus arcticus,365,0,1,0,1,0,0,0,0,0
GCA_023053545.1_LEPA1.1,Arthropoda (Mandibulata),Crustacea,Notostraca,Triopsidae,Lepidurus,Lepidurus packardi,168,0,1,0,1,0,0,0,0,0
GCA_020615345.1_EvoH_TcaCAE_1.0,Arthropoda (Mandibulata),Crustacea,Notostraca,Triopsidae,Triops,Triops cancriformis,76.19166667,0,1,0,1,0,0,0,0,0
GCA_921293095.2_ioIscEleg1.2,Arthropoda (Mandibulata),Insecta,Odonata,Coenagrionidae,Ischnura,Ischnura elegans,69,0,0,0,0,0,0,0,0,0
GCA_023897955.2_iqSchGreg1.2,Arthropoda (Mandibulata),Insecta,Orthoptera,Acrididae,Schistocerca,Schistocerca gregaria,61.5,100.5,0,0,0,0,1,0,0,0
GCA_039000515.1_ASM3900051v1,Arthropoda (Mandibulata),Insecta,Phasmatodea,Timematidae,Timema,Timema cristinae,121.6666667,0,0,0,0,0,0,0,0,0
GCA_934045905.1_ipLeuNigr2.1,Arthropoda (Mandibulata),Insecta,Plecoptera,Leuctridae,Leuctra,Leuctra nigra,730,0,0,0,0,0,0,0,0,0
GCA_905338405.1_Nmo_b1v02_max_arth_b2g_genome,Arthropoda (Mandibulata),Crustacea,Podocopida,Cyprididae,Notodromas,Notodromas monacha,35,0,0,0,0,0,0,0,0,0
GCA_905338395.1_Cto_b1v02_max_arth_b2g_genome,Arthropoda (Mandibulata),Crustacea,Podocopida,Cytherideidae,Cyprideis,Cyprideis torosa,365,0,0,0,0,0,0,0,0,0
GCA_905338385.1_Dst_b1v02_max_arth_b2g_genome,Arthropoda (Mandibulata),Crustacea,Podocopida,Darwinulidae,Darwinula,Darwinula stevensoni,1460,0,1,0,0,0,0,0,0,0
GCA_034698085.1_ASM3469808v1,Arthropoda (Mandibulata),Diplopoda,Polydesmida,Polydesmidae,Polydesmus,Polydesmus angustus,730,0,0,0,0,0,0,0,0,0
GCA_034692225.1_ASM3469222v1,Arthropoda (Mandibulata),Diplopoda,Polydesmida,Polydesmidae,Polydesmus,Polydesmus complanatus,730,0,0,0,0,0,0,0,0,0
GCA_037577465.1_SWU_Lb_1.0,Arthropoda (Mandibulata),Insecta,Psocoptera,Liposcelididae,Liposcelis,Liposcelis bostrychophila,250,0,0,0,0,0,0,0,0,0
GCA_003426905.1_ASM342690v1,Arthropoda (Mandibulata),Insecta,Siphonaptera,Pulicidae,Ctenocephalides,Ctenocephalides felis,1095,0,0,0,0,0,0,0,0,0
GCA_046742065.1_ASM4674206v1,Arthropoda (Mandibulata),Crustacea,Stomatopoda,Squillidae,Oratosquilla,Oratosquilla oratoria,1460,0,0,0,0,0,0,0,0,0
GCA_019059575.1_NRLGWU_Aamphi_draft,Arthropoda (Mandibulata),Crustacea,Thecostraca,Balanidae,Amphibalanus,Amphibalanus amphitrite,2190,0,0,0,0,0,0,0,0,0
GCA_964274985.1_qhAmpImpr1.1,Arthropoda (Mandibulata),Crustacea,Thecostraca,Balanidae,Amphibalanus,Amphibalanus improvisus,1095,0,0,0,0,0,0,0,0,0
GCA_030265075.1_ASM3026507v1,Arthropoda (Mandibulata),Crustacea,Thecostraca,Balanidae,Balanus,Balanus glandula,3650,0,0,0,0,0,0,0,0,0
GCA_014673585.1_Sbal3.1,Arthropoda (Mandibulata),Crustacea,Thecostraca,Balanidae,Semibalanus,Semibalanus balanoides,2555,0,0,0,0,0,0,0,0,0
GCA_030323935.1_ASM3032393v1,Arthropoda (Mandibulata),Crustacea,Thecostraca,Balanidae,Semibalanus,Semibalanus cariosus,5475,0,0,0,0,0,0,0,0,0
GCA_011947565.3_Ppol_2.1,Arthropoda (Mandibulata),Crustacea,Thecostraca,Pollicipedidae,Pollicipes,Pollicipes pollicipes,2190,0,0,0,0,0,0,0,0,0
GCA_916048095.2_qxSacCarc1.2,Arthropoda (Mandibulata),Crustacea,Thecostraca,Sacculinidae,Sacculina,Sacculina carcini,730,0,0,0,0,0,0,0,0,0
GCA_043773995.1_qhTetRube1.0.p,Arthropoda (Mandibulata),Crustacea,Thecostraca,Tetraclitidae,Tetraclita,Tetraclita rubescens,1460,0,0,0,0,0,0,0,0,0
GCA_029379305.1_ASM2937930v1,Arthropoda (Mandibulata),Insecta,Thysanoptera,Thripidae,Frankliniella,Frankliniella fusca,35.83,0,0,0,0,0,0,0,0,0
GCA_030522485.1_ASM3052248v1,Arthropoda (Mandibulata),Insecta,Thysanoptera,Thripidae,Stenchaetothrips,Stenchaetothrips biformis,21.16,0,0,0,0,0,0,0,0,0
GCA_040581495.1_ASM4058149v1,Arthropoda (Mandibulata),Insecta,Thysanoptera,Thripidae,Thrips,Thrips tabaci,22.75,0,0,0,0,0,0,0,0,0
GCA_936435175.1_iiGlyPell1.1,Arthropoda (Mandibulata),Insecta,Trichoptera,Limnephilidae,Glyphotaelius,Glyphotaelius pellucidus,334.5833333,0,0,0,0,0,0,0,0,0
GCA_001039355.2_LinAna2.0,Brachiopoda,Lingulata,Lingulida,Lingulidae,Lingula,Lingula anatina,2920,0,0,0,0,0,0,0,0,0
GCA_914767715.1_tzMemMemb1.1,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,Membranipora membranacea,42,0,0,0,0,0,0,0,0,0
GCA_963576615.1_tzWatSuba1.1,Bryozoa,Gymnolaemata,Cheilostomatida,Watersiporidae,Watersipora,Watersipora subatra,243.3333333,0,0,0,0,0,0,0,0,0
GCA_039654405.1_ASM3965440v1,Mollusca,Gastropoda,Acteonimorpha,Aplustridae,Bullina,Bullina lineata,47,0,0,0,0,0,0,0,0,0
GCA_037043455.1_xbCyrSili1_p1.0,Mollusca,Bivalvia,Adapedonta,Hiatellidae,Cyrtodaria,Cyrtodaria siliqua,38325,0,0,0,0,0,0,0,0,0
GCA_029582155.1_ASM2958215v1,Mollusca,Bivalvia,Adapedonta,Hiatellidae,Panopea,Panopea generosa,48545,0,0,0,0,0,0,0,0,0
GCA_000002075.2_AplCal3.0,Mollusca,Gastropoda,Aplysiida,Aplysiidae,Aplysia,Aplysia californica,365,0,0,0,0,0,0,0,0,0
GCA_032273245.1_ASM3227324v1,Mollusca,Gastropoda,Aplysiida,Aplysiidae,Phyllaplysia,Phyllaplysia taylori,273.75,0,0,0,0,0,0,0,0,0
GCA_004794575.1_ASM479457v1,Mollusca,Gastropoda,Architaenioglossa,Ampullariidae,Lanistes,Lanistes nyassanus,3650,0,0,0,0,0,0,0,0,0
GCA_004794655.1_Mca_v2.0.fa,Mollusca,Gastropoda,Architaenioglossa,Ampullariidae,Marisa,Marisa cornuarietis,534,0,0,0,0,0,0,0,0,0
GCA_003073045.1_ASM307304v1,Mollusca,Gastropoda,Architaenioglossa,Ampullariidae,Pomacea,Pomacea canaliculata,1137.213889,0,0,0,0,0,0,0,0,0
GCA_004794325.1_ASM479432v1,Mollusca,Gastropoda,Architaenioglossa,Ampullariidae,Pomacea,Pomacea maculata,1095,0,0,0,0,0,0,0,0,0
GCA_021292105.1_ASM2129210v1,Mollusca,Bivalvia,Arcoida,Arcidae,Anadara,Anadara kagoshimensis,2596.0625,0,0,0,0,0,0,0,0,0
GCA_029721355.1_KUTeg,Mollusca,Bivalvia,Arcoida,Arcidae,Tegillarca,Tegillarca granosa,1821.616667,0,0,0,0,0,0,0,0,0
GCA_947846245.1_V1.2,Mollusca,Bivalvia,Cardiida,Cardiidae,Cerastoderma,Cerastoderma edule,3023.273529,0,0,0,0,0,0,0,0,0
GCA_031471495.1_ASM3147149v1,Mollusca,Bivalvia,Cardiida,Cardiidae,Clinocardium,Clinocardium nuttallii,3668.25,0,0,0,0,0,0,0,0,0
GCA_946902895.1_xbFraFrag2.1,Mollusca,Bivalvia,Cardiida,Cardiidae,Fragum,Fragum fragum,1460,0,0,0,0,0,0,0,0,0
GCA_946811185.2_xbHipHipp8.3,Mollusca,Bivalvia,Cardiida,Cardiidae,Hippopus,Hippopus hippopus,14600,0,0,0,0,0,0,0,0,0
GCA_031761405.1_xbSerGroe1_p1.0,Mollusca,Bivalvia,Cardiida,Cardiidae,Serripes,Serripes groenlandicus,9855,0,0,0,0,0,0,0,0,0
GCA_943736015.1_xbTriCroc3.1,Mollusca,Bivalvia,Cardiida,Cardiidae,Tridacna,Tridacna crocea,18493.33333,0,0,0,0,0,0,0,0,0
GCA_963210305.1_xbTriDera4.1,Mollusca,Bivalvia,Cardiida,Cardiidae,Tridacna,Tridacna derasa,22995,0,0,0,0,0,0,0,0,0
GCA_945859785.2_xbTriGiga4.2,Mollusca,Bivalvia,Cardiida,Cardiidae,Tridacna,Tridacna gigas,41366.66667,0,0,0,0,0,0,0,0,0
GCA_032358795.1_ASM3235879v1,Mollusca,Bivalvia,Cardiida,Psammobiidae,Nuttallia,Nuttallia obscurata,4866.666667,0,0,0,0,0,0,0,0,0
GCA_007844125.1_ASM784412v1,Mollusca,Bivalvia,Cardiida,Solecurtidae,Sinonovacula,Sinonovacula constricta,1825,0,0,0,0,0,0,0,0,0
GCA_964059415.1_xbMacTenu1.hap1.1,Mollusca,Bivalvia,Cardiida,Tellinidae,Macomangulus,Macomangulus tenuis,2482,0,0,0,0,0,0,0,0,0
GCA_031471215.1_ASM3147121v1,Mollusca,Gastropoda,Cephalaspidea,Gastropteridae,Gastropteron,Gastropteron pacificum,365,0,0,0,0,0,0,0,0,0
GCA_018292915.2_EWHU_Batt_1.5,Mollusca,Gastropoda,Cerithioidea,Batillariidae,Batillaria,Batillaria attramentaria,3650,0,0,0,0,0,0,0,0,0
GCA_028565955.2_ASM2856595v2,Mollusca,Gastropoda,Cerithioidea,Thiaridae,Melanoides,Melanoides tuberculata,1420.8125,0,1,0,0,0,0,0,0,0
GCA_016165875.1_ASM1616587v1,Mollusca,Polyplacophora,Chitonida,Chitonidae,Acanthopleura,Acanthopleura granulata,2069.854167,0,0,0,0,0,0,0,0,0
GCA_031471745.1_ASM3147174v1,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Cryptochiton,Cryptochiton stelleri,9976.666667,0,0,0,0,0,0,0,0,0
GCA_032466195.1_ASM3246619v1,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Katharina,Katharina tunicata,6205,0,0,0,0,0,0,0,0,0
GCA_034781015.1_ASM3478101v1,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Tonicella,Tonicella lineata,3467.5,0,0,0,0,0,0,0,0,0
GCA_963971465.1_xpLepCine2.1,Mollusca,Polyplacophora,Chitonida,Tonicellidae,Lepidochitona,Lepidochitona cinerea,1140.625,0,0,0,0,0,0,0,0,0
GCA_034096865.1_UHGW_Tflu_1.1,Mollusca,Gastropoda,Cycloneritida,Neritidae,Theodoxus,Theodoxus fluviatilis,1277.5,0,0,0,0,0,0,0,0,0
GCA_033807755.1_Elch_1.0,Mollusca,Gastropoda,Ellobiida,Ellobiidae,Ellobium,Ellobium chinense,7300,0,0,0,0,0,0,0,0,0
GCA_944989445.1_Rbalt_genome_v1,Mollusca,Gastropoda,Hygrophila,Lymnaeidae,Ampullaceana,Ampullaceana balthica,365,0,0,0,0,0,0,0,0,0
GCA_964033795.1_LYST_v1,Mollusca,Gastropoda,Hygrophila,Lymnaeidae,Lymnaea,Lymnaea stagnalis,775.0625,0,0,0,0,0,0,0,0,0
GCA_964017045.1_xgOmpGlab2.1,Mollusca,Gastropoda,Hygrophila,Lymnaeidae,Omphiscola,Omphiscola glabra,517.0833333,0,0,0,0,0,0,0,0,0
GCA_002072015.1_ASM207201v1,Mollusca,Gastropoda,Hygrophila,Lymnaeidae,Radix,Radix auricularia,730,0,0,0,0,0,0,0,0,0
GCA_028476545.3_ASM2847654v3,Mollusca,Gastropoda,Hygrophila,Physidae,Physella,Physella acuta,326.547619,0,0,0,0,0,0,0,0,0
GCA_949126835.1_xgAniVort1.1,Mollusca,Gastropoda,Hygrophila,Planorbidae,Anisus,Anisus vortex,395.4166667,0,0,0,0,0,0,0,0,0
GCA_947242115.1_xgBioGlab47.1,Mollusca,Gastropoda,Hygrophila,Planorbidae,Biomphalaria,Biomphalaria glabrata,497.775,0,0,0,0,0,0,0,0,0
GCA_030265305.1_UNM_Bpfe_1.0,Mollusca,Gastropoda,Hygrophila,Planorbidae,Biomphalaria,Biomphalaria pfeifferi,414.1527778,0,0,0,0,0,0,0,0,0
GCA_021533235.1_Bstr_hk_v1,Mollusca,Gastropoda,Hygrophila,Planorbidae,Biomphalaria,Biomphalaria straminea,293.8,0,0,0,0,0,0,0,0,0
GCA_036873155.1_WU_Bs111_ccs,Mollusca,Gastropoda,Hygrophila,Planorbidae,Biomphalaria,Biomphalaria sudanica,301,0,0,0,0,0,0,0,0,0
GCA_021962125.1_Btru.v1,Mollusca,Gastropoda,Hygrophila,Planorbidae,Bulinus,Bulinus truncatus,344.1888889,0,1,0,0,0,0,0,0,0
GCA_036873565.1_ASM3687356v1,Mollusca,Cephalopoda,Idiosepida,Idiosepiidae,Xipholeptos,Xipholeptos notoides,160.8018868,0,0,0,0,0,0,0,0,0
GCA_031471655.1_ASM3147165v1,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Diodora,Diodora aspera,7300,0,0,0,0,0,0,0,0,0
GCA_022045235.1_xgHalCrac1.p,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Haliotis cracherodii,10950,0,0,0,0,0,0,0,0,0
GCA_008038995.1_Hlaev_1.0,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Haliotis laevigata,5475,0,0,0,0,0,0,0,0,0
GCA_003918875.1_ASM391887v1,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Haliotis rubra,6387.5,0,0,0,0,0,0,0,0,0
GCA_023055435.1_xgHalRufe1.0.p,Mollusca,Gastropoda,Lepetellida,Haliotidae,Haliotis,Haliotis rufescens,15512.5,0,0,0,0,0,0,0,0,0
