"Region","Trait","Intercept","Std.Error_Intercept","t.value_Intercept","p.value_Intercept","Coefficient_ln_lifespan_c","Std.Error_ln_lifespan_c","t.value_ln_lifespan_c","p.value_ln_lifespan_c","Coefficient_ln_Genome_Size_c","Std.Error_ln_Genome_Size_c","t.value_ln_Genome_Size_c","p.value_ln_Genome_Size_c","Lambda","N_species","p.adjusted.fdr_Intercept","p.adjusted.fdr_ln_lifespan_c","p.adjusted.fdr_ln_Genome_Size_c"
"downstream1","A_Rate",0.31307001864144,0.0967283447570037,3.23659026139566,0.00129642523766169,-0.00087694623591287,0.000613073246215875,-1.43041021823366,0.153273821231461,0.000718835503360423,0.00130787267067419,0.549621931460555,0.58284371751446,0.998161028034276,466,0.00372722255827736,0.293774824026968,0.70554765804382
"downstream1","T_Rate",0.258916475239012,0.0949426617147058,2.72708254185071,0.00663235149134482,-0.000383399197959025,0.000534826160691837,-0.716866948810189,0.473817658347786,-0.0024198410274664,0.00116119468342648,-2.08392361935889,0.0377148589041704,0.998694768287936,466,0.0127120070250776,0.573568744315741,0.0963824171995466
"downstream1","C_Rate",0.197835200023193,0.102385161568999,1.93226437299578,0.0539365778395456,0.000375925135975359,0.000626554712886776,0.599987723726997,0.548807942377739,0.000535175688517328,0.00134351842206904,0.398338928388603,0.690563990458612,0.998337873534218,466,0.0620270645154775,0.631129133734399,0.721953262752185
"downstream2","A_Rate",0.313364160276774,0.0854373778840706,3.66776425070039,0.000273090838134277,-0.00151496436283848,0.00058611825602697,-2.5847418115036,0.0100500873447606,-0.00230249649389642,0.00123638234081694,-1.86228516688053,0.0631961288016303,0.997695908683439,466,0.00209369642569612,0.104336745693998,0.111808535572115
"downstream2","T_Rate",0.34566507925123,0.120071207200914,2.8788340461409,0.00417628775560209,-0.00126743514945118,0.000596672153975813,-2.12417345271749,0.0341850264186404,-0.00255195467962188,0.00132095717370622,-1.93189811934769,0.0539819090049586,0.999102614250697,466,0.00960546183788482,0.143872294795635,0.104734454971147
"downstream2","G_Rate",0.180321634301222,0.110909939444205,1.62583836223205,0.104664463678868,0.00140402930756587,0.000566850363564704,2.47689584026456,0.0136091407426953,0.00250149610753927,0.00124941295331146,2.00213716442532,0.0458527626413339,0.999023081115319,466,0.104664463678868,0.104336745693998,0.104734454971147
"downstream2","C_Rate",0.160424132734008,0.0890727102429907,1.80104694576341,0.0723460391313566,0.00113458898313854,0.000543925036046092,2.08592895702339,0.0375319029901657,0.00186445308964757,0.00116670416205671,1.59805128864959,0.110713758169044,0.998348112937794,466,0.0756344954555091,0.143872294795635,0.169761095859201
"exon","A_Rate",0.302030264938117,0.0994533979486401,3.03690242030838,0.00252514935755631,-0.000702004749702523,0.000551510026217913,-1.272877583961,0.203700259609872,0.00048718653693419,0.00120030025132479,0.405887223964567,0.685012976808464,0.998753834871976,466,0.00645315946931056,0.336895384856985,0.721953262752185
"exon","T_Rate",0.25802535200398,0.095844321957117,2.69212976559453,0.00735700213302504,-0.000424999292387687,0.000549377240877356,-0.773601927354986,0.439561027441896,-0.00295488565489559,0.00118963261912588,-2.48386401599075,0.0133492390100631,0.998626313616377,466,0.0130162345430443,0.561661312842423,0.0514423858077441
"exon","G_Rate",0.23422730110324,0.0846458130382327,2.76714574172079,0.00588140957643025,0.000827625276642091,0.000452983363207714,1.82705446571243,0.0683351730954438,0.00190981379643872,0.000991298779573582,1.92657737081069,0.0546440634632071,0.998878731371256,466,0.0122974927507178,0.203037679897279,0.104734454971147
"exon","C_Rate",0.205726145336596,0.1084072499766,1.89771574669592,0.0583553123877125,0.000297261926452752,0.000620358953614617,0.479177296822606,0.632038739563696,0.000620118704684196,0.00134367587376313,0.461509145764058,0.644650104732043,0.998632975272815,466,0.0639129611865422,0.692232905236429,0.721953262752185
