"Region","Trait","Intercept","Std.Error_Intercept","t.value_Intercept","p.value_Intercept","Coefficient_ln_lifespan_c","Std.Error_ln_lifespan_c","t.value_ln_lifespan_c","p.value_ln_lifespan_c","Coefficient_ln_Genome_Size_c","Std.Error_ln_Genome_Size_c","t.value_ln_Genome_Size_c","p.value_ln_Genome_Size_c","Coefficient_Interaction","Std.Error_Interaction","t.value_Interaction","p.value_Interaction","Lambda","N_species","p.adjusted.fdr_Intercept","p.adjusted.fdr_ln_lifespan_c","p.adjusted.fdr_ln_Genome_Size_c","p.adjusted.fdr_Interaction"
"downstream1","GC_content",0.42784265145783,0.185144617764565,2.31085654351501,0.0212802417873685,0.00124186432299665,0.00108860525081555,1.14078479969325,0.254550487805746,0.0014140608344707,0.00232123318406649,0.609185171131088,0.542701149565571,0.000145241509745854,0.000891522458982825,0.162914022280006,0.870657364503466,0.99860712054329,466,0.042560483574737,0.332140418181151,0.542701149565571,0.980129828510253
"downstream2","GC_content",0.340429617972502,0.189262415570161,1.79871749468558,0.07271594240497,0.0026926804834474,0.00106586902158491,2.52627708369221,0.0118608713921148,0.00447612797578737,0.00228817176303583,1.95620278516534,0.0510434013170817,0.000484106888791049,0.000874430728172755,0.553625202310374,0.5801032016285,0.998769985185223,466,0.07271594240497,0.0948869711369185,0.120422854088281,0.980129828510253
"exon","GC_content",0.439969465934518,0.1893860799883,2.32313518481241,0.0206051994850842,0.00113522547380899,0.00107356551003717,1.05743474729333,0.29086580866432,0.00251744710617823,0.00230231728397708,1.09344056255771,0.274770206035504,-2.19421587408069e-05,0.000880517003874673,-0.0249196309034936,0.980129828510253,0.99874645770645,466,0.042560483574737,0.332140418181151,0.366360274714006,0.980129828510253
"genome","GC_content",0.380670400831939,0.150153392567847,2.535210122941,0.0115667550444254,0.00203906170277873,0.00103921949038585,1.96210879572866,0.0503496988385529,0.00180585348974925,0.00216202273719955,0.835261100023563,0.404002443486503,0.00091235492565043,0.000844588206913842,1.08023640181315,0.28060050866763,0.997792551083427,466,0.042560483574737,0.100699397677106,0.461717078270289,0.980129828510253
"intergenic","GC_content",0.378377710338061,0.157517939198131,2.40212455968032,0.0166939253126736,0.00220546085960717,0.00110183808822633,2.00161973267541,0.045909899897205,0.00431169653098519,0.00228875442750655,1.88386157954154,0.0602114270441407,0.00080716507399171,0.000894978321122028,0.901882263449436,0.367589347037739,0.997726443832012,466,0.042560483574737,0.100699397677106,0.120422854088281,0.980129828510253
"intron","GC_content",0.364343469847449,0.174484477406886,2.08811394149305,0.0373346034829628,0.00103038965301256,0.00106134809456692,0.970831019801284,0.332140418181151,0.0120132525940009,0.00225124645127537,5.33626719864241,1.48954102337006e-07,0.00104417542318023,0.000867936952301252,1.20305446197642,0.229571384879361,0.998465062757502,466,0.0464500522591447,0.332140418181151,1.19163281869605e-06,0.980129828510253
"upstream1","GC_content",0.357299986045201,0.174045486054794,2.05291153562417,0.0406437957267516,0.00177914145501064,0.000996128364881279,1.78605641374612,0.0747458371165349,0.00461469650872063,0.00213302229121721,2.16345442226356,0.0310182633756278,0.000262082371743469,0.000816690715319922,0.320907740013677,0.748425418037554,0.998711153387867,466,0.0464500522591447,0.119593339386456,0.120422854088281,0.980129828510253
"upstream2","GC_content",0.391363947164453,0.176705620764326,2.21477927794056,0.0272623954579988,0.00191730409383151,0.000969383273198952,1.97785968340925,0.0485383046832573,0.00266338446393686,0.00208971023963658,1.27452333506297,0.203118673903259,-8.0503008934057e-05,0.000796081897181183,-0.101124029096889,0.919495873779664,0.998860308391338,466,0.0436198327327981,0.100699397677106,0.324989878245214,0.980129828510253
