Organism Name,Region,Average_lifespan_days,Tip_Name,Genome_size_bp,AA_Rate,AT_Rate,AG_Rate,AC_Rate,TA_Rate,TT_Rate,TG_Rate,TC_Rate,GA_Rate,GT_Rate,GG_Rate,GC_Rate,CA_Rate,CT_Rate,CG_Rate,CC_Rate,AA_and_TT_Rate,AC_and_GT_Rate,AG_and_CT_Rate,CA_and_TG_Rate,CC_and_GG_Rate,GA_and_TC_Rate
Acanthocheilonema viteae,downstream1,730.2,Acanthocheilonema_viteae_ott295364,81095982.0,0.1274724430617966,0.0948265929254522,0.0628336597918347,0.0467411760187425,0.0655221415677689,0.0985136536467334,0.073843632778994,0.0512987927436596,0.0796814789210226,0.0503258183866548,0.0404296449923826,0.0420683386462854,0.0620783244357388,0.0434125795342525,0.0354751571481609,0.0254765654005197,,,,,,
Acanthocheilonema viteae,downstream2,730.2,Acanthocheilonema_viteae_ott295364,81095982.0,0.1150747399863703,0.1153868200317175,0.0455191037570616,0.037869958155798,0.0923948003643056,0.172733120609384,0.0711351433975963,0.056034290591105,0.0550598365719599,0.0546012699747151,0.021781913369127,0.0255841947379482,0.0512066033590003,0.0496716790543337,0.018495519422206,0.0174510066173707,,,,,,
Acanthocheilonema viteae,exon,730.2,Acanthocheilonema_viteae_ott295364,81095982.0,0.1153962737043919,0.0957162060119854,0.0597042741542465,0.0493747556593315,0.0617275487744139,0.0958543756393023,0.0792558119607769,0.053477001183546,0.0775324404076539,0.0536933598247709,0.0412441692952813,0.0443160335677218,0.0646462482661854,0.0449758203152195,0.0379645150406743,0.0251211661944978,,,,,,
Acanthocheilonema viteae,genome,730.2,Acanthocheilonema_viteae_ott295364,81095982.0,,0.119988,,,0.093189,,,,,,,0.026992,,,0.020399,,0.287645,0.08602000000000001,0.091793,0.11941099999999999,0.042565,0.111998
Acanthocheilonema viteae,intergenic,730.2,Acanthocheilonema_viteae_ott295364,81095982.0,,0.1305669958676444,,,0.1023225209995993,,,,,,,0.0232932069007773,,,0.0164132493994327,,0.31016113654014443,0.0772447984530841,0.0852073579179307,0.1123687195675506,0.0358477401037957,0.1065742742500401
Acanthocheilonema viteae,intron,730.2,Acanthocheilonema_viteae_ott295364,81095982.0,0.122587511553448,0.1161632184295109,0.0495763661869234,0.0383344070766032,0.0966674671740288,0.1676661193086806,0.0639123896385399,0.0556085288594719,0.0542105948774027,0.0517900201249323,0.0212029587461041,0.0254322075127763,0.0531919418743038,0.0482342609470858,0.017948497542206,0.0174735101479816,,,,,,
Acanthocheilonema viteae,upstream1,730.2,Acanthocheilonema_viteae_ott295364,81095982.0,0.1135334467011865,0.1120813191432447,0.0507607747227901,0.0400163045901242,0.0890574545732464,0.1501296087535268,0.0712434160663902,0.0556967346236887,0.0611931648101088,0.0557158415652406,0.0300297431390157,0.02809357306176,0.0525631962091827,0.0481240167886326,0.0231193992777576,0.0186420059741037,,,,,,
Acanthocheilonema viteae,upstream2,730.2,Acanthocheilonema_viteae_ott295364,81095982.0,0.1124761959353166,0.1044640184445675,0.0567285094674895,0.0413028386546165,0.0767525842138448,0.130494041818726,0.0755997987402156,0.0536968747412601,0.0694664705020667,0.0591168771614727,0.0369464559807911,0.0342269012999089,0.0564419053442115,0.0419142607842762,0.0306347962881581,0.0197374706230773,,,,,,
Acanthopleura granulata,downstream1,2069.854167,Acanthopleura_granulata_ott457177,606536932.0,0.0904643923511848,0.0642589416174321,0.0818880630201384,0.0593566694195625,0.0456345424898884,0.0722741037206446,0.0782881223132795,0.0557990809563136,0.0824386421870698,0.0554602630074328,0.0556296719818732,0.0469051097981915,0.0799822120576837,0.0586790335218008,0.024363128136713,0.0485780234207907,,,,,,
Acanthopleura granulata,downstream2,2069.854167,Acanthopleura_granulata_ott457177,606536932.0,0.0923639086326535,0.0839537679539366,0.0636903380929281,0.0563242148777761,0.0665112943707422,0.0995349376753211,0.0908506105920317,0.0534505304452365,0.0632316031468162,0.0698964419041191,0.0429365363929723,0.0361873325881087,0.0743625166093687,0.057051863412988,0.0145951532280176,0.0350589500769831,,,,,,
