"Region","Trait","Intercept","Std.Error_Intercept","t.value_Intercept","p.value_Intercept","Coefficient_ln_lifespan_c","Std.Error_ln_lifespan_c","t.value_ln_lifespan_c","p.value_ln_lifespan_c","Coefficient_ln_Genome_Size_c","Std.Error_ln_Genome_Size_c","t.value_ln_Genome_Size_c","p.value_ln_Genome_Size_c","Coefficient_Interaction","Std.Error_Interaction","t.value_Interaction","p.value_Interaction","Lambda","N_species","p.adjusted.fdr_Intercept","p.adjusted.fdr_ln_lifespan_c","p.adjusted.fdr_ln_Genome_Size_c","p.adjusted.fdr_Interaction"
"downstream1","A_Rate",0.312860865897416,0.09732456451566,3.21461357114087,0.00139769682155598,-0.000793685362693789,0.000626746817523956,-1.26635722831325,0.206023329734089,0.000836241488759903,0.00131790929498661,0.634521276950551,0.526054758071326,0.000313207569364585,0.00051120052717738,0.612690231549597,0.540382641077836,0.998195764656153,466,0.00419309046466794,0.319683291542021,0.631265709685591,0.810573961616753
"downstream1","T_Rate",0.259283078151814,0.0937521941430573,2.76562143981581,0.00590900747826297,-0.000504936474225469,0.000547466146103142,-0.922315430496666,0.356845465325377,-0.00255082805777624,0.00116861357338937,-2.18278147358668,0.0295546460273202,-0.000524863882596163,0.000448480235959727,-1.17031663942331,0.242476902044216,0.998634346604286,466,0.0119270921744739,0.472765718733588,0.0886639380819605,0.806433537494098
"downstream1","G_Rate",0.230222587218373,0.0901178201428967,2.55468437711117,0.0109479741656336,0.000754427506642304,0.000478966524561152,1.57511531172985,0.11591432492024,0.000735282616500088,0.00103774676403183,0.708537614363053,0.478968804860613,-0.00018310821251485,0.000393802834783683,-0.46497433827624,0.642168904056969,0.99896115638296,466,0.0187679557125148,0.278194379808576,0.605013227192353,0.856225205409292
"downstream1","C_Rate",0.197582912875919,0.10154841403328,1.94570161195394,0.0522966690010126,0.000468582075853056,0.000642241921162398,0.729603690467551,0.466002207755653,0.000657847493628333,0.0013541832194495,0.485789134128955,0.627346988937548,0.00037210743891479,0.000524283035732299,0.709745335160509,0.478220126326334,0.998285459288872,466,0.059767621715443,0.532573951720746,0.658273158943835,0.806433537494098
"downstream2","A_Rate",0.313143333408506,0.0858743544146137,3.64652911271513,0.00029604322423782,-0.00141969204301213,0.000600283894387476,-2.36503437171302,0.0184407016589192,-0.00218165574536297,0.00124704137843097,-1.74946540114645,0.0808745749702662,0.00033541060371105,0.000487603744223571,0.687875365364834,0.49187647608363,0.997730717125806,466,0.00236834579390256,0.110644209953515,0.141972642666206,0.806433537494098
"downstream2","T_Rate",0.346264899403035,0.11750635494268,2.94677593881576,0.0033734630259223,-0.00147629067304022,0.000610080199497175,-2.41983049811643,0.0159127038251385,-0.00276217261180543,0.00132680528883449,-2.081822129479,0.0379085928844188,-0.000856107806491758,0.000502025234633837,-1.70530831406549,0.0888091285046034,0.999030378486794,466,0.00809631126221352,0.110644209953515,0.0909806229226052,0.806433537494098
"downstream2","G_Rate",0.180166292424396,0.11062581494319,1.62860985491421,0.104077303474592,0.00146096071877303,0.000578425570169771,2.52575403667619,0.011878296879637,0.00256274109336053,0.00125653420886751,2.03953149486497,0.0419654213846471,0.000225188449884497,0.000475857831913032,0.473226318413631,0.636275233220126,0.999009971834746,466,0.104077303474592,0.110644209953515,0.0915609193846846,0.856225205409292
"downstream2","C_Rate",0.160207100424786,0.0883374135212709,1.81358151703423,0.0703908555638333,0.0012207247338052,0.000557535237811698,2.18950238660518,0.029059835438943,0.00197316007054515,0.00117594587672696,1.67793442674172,0.0940361887493849,0.000321698202856011,0.000455177740376659,0.706752932579273,0.480076321897619,0.998295457357342,466,0.0734513275448695,0.116239341755772,0.141972642666206,0.806433537494098
"exon","A_Rate",0.301817801166683,0.0998239634167601,3.02350047860361,0.00263772718953369,-0.000626287899811907,0.000562450175529675,-1.11349934102539,0.266073015895089,0.000580871558031627,0.00120735703348802,0.481110012962367,0.630666083594309,0.000308552142669344,0.000461421008618775,0.668699814065616,0.504020960933811,0.998768261926861,466,0.00703393917208984,0.375632493028361,0.658273158943835,0.806433537494098
"exon","T_Rate",0.25824701037282,0.0953000990948129,2.70982940023907,0.00698213500977994,-0.000499930365741395,0.00056212418961425,-0.889359282126723,0.37427286066409,-0.00303341228906187,0.00119802482308079,-2.53201121597905,0.011671322936204,-0.000317746188216928,0.000460295056263763,-0.690309799970673,0.490346019788949,0.998594361982496,466,0.0128900954026707,0.472765718733588,0.0560223500937792,0.806433537494098
