"Region","Trait","Intercept","Std.Error_Intercept","t.value_Intercept","p.value_Intercept","Coefficient_ln_lifespan_c","Std.Error_ln_lifespan_c","t.value_ln_lifespan_c","p.value_ln_lifespan_c","Coefficient_ln_Genome_Size_c","Std.Error_ln_Genome_Size_c","t.value_ln_Genome_Size_c","p.value_ln_Genome_Size_c","Lambda","N_species","p.adjusted.fdr_Intercept","p.adjusted.fdr_ln_lifespan_c","p.adjusted.fdr_ln_Genome_Size_c"
"downstream1","GC_content",0.427942123356045,0.18522771286704,2.3103568938587,0.0213071627914639,0.00120602816893519,0.00106474892084528,1.13268785281111,0.257931587443203,0.00136883302266885,0.00230463274952412,0.593948438401518,0.552836674790664,0.998614791378438,466,0.0426143255829278,0.318301168759547,0.552836674790664
"downstream2","GC_content",0.340759223823821,0.190157047939926,1.79198839861814,0.0737876661475971,0.00256528153800892,0.0010425933425272,2.46048141050929,0.0142391732601019,0.0043282376334379,0.00227305484751187,1.90415010802563,0.0575102292615449,0.998795009825724,466,0.0737876661475971,0.113913386080815,0.15336061136412
"exon","GC_content",0.43995427293476,0.189149554605419,2.32595986732583,0.0204516478323612,0.0011405171250494,0.00105122752708707,1.0849384131043,0.278513522664604,0.00252362422165161,0.00228710565840768,1.10341392072311,0.270420614493919,0.998745689892533,466,0.0426143255829278,0.318301168759547,0.360560819325225
"genome","GC_content",0.381279571297677,0.152010987371407,2.50823692346724,0.0124744534492504,0.00178260205532617,0.00101233106391982,1.76088842757013,0.0789173901799013,0.00148110236496013,0.00214435391742352,0.690698654231344,0.490101048044558,0.99788179506078,466,0.0426143255829278,0.127288932084797,0.552836674790664
"intergenic","GC_content",0.378917694938265,0.158812876131379,2.38593811892684,0.0174365916954518,0.00197811965991634,0.00107353783116638,1.84261756082424,0.0660240093554086,0.00402370927753071,0.00226923078198455,1.77316001064104,0.0768595418182917,0.997790103069873,466,0.0426143255829278,0.127288932084797,0.153719083636583
"intron","GC_content",0.365061668889377,0.177567669413922,2.05590167452383,0.0403521163285234,0.000755376273507756,0.00103504140214751,0.729802954684228,0.465879699027552,0.0117480127732907,0.00223561408645562,5.25493771240109,2.264076954413e-07,0.998557111908338,466,0.046585910206582,0.465879699027552,1.8112615635304e-06
"upstream1","GC_content",0.357479748483272,0.174237527432599,2.0516805636005,0.0407626714307593,0.00171276701527389,0.000974749378897962,1.75713578521109,0.079555582552998,0.00453618685877447,0.0021185764539325,2.14114852940728,0.0327835237508942,0.998721071709711,466,0.046585910206582,0.127288932084797,0.131134095003577
"upstream2","GC_content",0.391308068743629,0.176416154822861,2.21809657475269,0.0270327484870975,0.00193687033586849,0.000949959363912792,2.03889809337813,0.0420276506867841,0.00268560811851218,0.00207687541397646,1.29310025071278,0.196621216897298,0.998857862238992,466,0.0432523975793561,0.127288932084797,0.314593947035677
